sex,age,attribute,score,t_score
f,8,pf,6,54
f,8,pf,5,49
f,8,pf,4,46
f,8,pf,3,43
f,8,pf,2,40
f,8,pf,1,40
f,8,pf,0,40
f,8,oc,30,88
f,8,oc,29,86
f,8,oc,28,85
f,8,oc,27,83
f,8,oc,26,81
f,8,oc,25,80
f,8,oc,24,78
f,8,oc,23,76
f,8,oc,22,75
f,8,oc,21,73
f,8,oc,20,71
f,8,oc,19,69
f,8,oc,18,68
f,8,oc,17,66
f,8,oc,16,64
f,8,oc,15,63
f,8,oc,14,61
f,8,oc,13,59
f,8,oc,12,58
f,8,oc,11,56
f,8,oc,10,54
f,8,oc,9,53
f,8,oc,8,51
f,8,oc,7,49
f,8,oc,6,47
f,8,oc,5,46
f,8,oc,4,44
f,8,oc,3,42
f,8,oc,2,41
f,8,oc,1,40
f,8,oc,0,40
f,8,ps,36,90
f,8,ps,35,90
f,8,ps,34,90
f,8,ps,33,90
f,8,ps,32,90
f,8,ps,31,90
f,8,ps,30,88
f,8,ps,29,87
f,8,ps,28,85
f,8,ps,27,83
f,8,ps,26,82
f,8,ps,25,80
f,8,ps,24,78
f,8,ps,23,77
f,8,ps,22,75
f,8,ps,21,73
f,8,ps,20,72
f,8,ps,19,70
f,8,ps,18,68
f,8,ps,17,66
f,8,ps,16,65
f,8,ps,15,63
f,8,ps,14,61
f,8,ps,13,60
f,8,ps,12,58
f,8,ps,11,56
f,8,ps,10,55
f,8,ps,9,53
f,8,ps,8,51
f,8,ps,7,50
f,8,ps,6,48
f,8,ps,5,46
f,8,ps,4,45
f,8,ps,3,43
f,8,ps,2,41
f,8,ps,1,40
f,8,ps,0,40
f,8,p,21,90
f,8,p,20,90
f,8,p,19,90
f,8,p,18,90
f,8,p,17,89
f,8,p,16,86
f,8,p,15,83
f,8,p,14,80
f,8,p,13,77
f,8,p,12,74
f,8,p,11,71
f,8,p,10,68
f,8,p,9,65
f,8,p,8,62
f,8,p,7,60
f,8,p,6,57
f,8,p,5,54
f,8,p,4,51
f,8,p,3,48
f,8,p,2,45
f,8,p,1,42
f,8,p,0,40
f,8,tr,15,87
f,8,tr,14,84
f,8,tr,13,81
f,8,tr,12,77
f,8,tr,11,74
f,8,tr,10,71
f,8,tr,9,68
f,8,tr,8,65
f,8,tr,7,61
f,8,tr,6,58
f,8,tr,5,55
f,8,tr,4,52
f,8,tr,3,49
f,8,tr,2,45
f,8,tr,1,42
f,8,tr,0,40
f,8,ha,24,67
f,8,ha,23,64
f,8,ha,22,62
f,8,ha,21,59
f,8,ha,20,56
f,8,ha,19,54
f,8,ha,18,51
f,8,ha,17,48
f,8,ha,16,46
f,8,ha,15,43
f,8,ha,14,41
f,8,ha,13,40
f,8,ha,12,40
f,8,ha,11,40
f,8,ha,10,40
f,8,ha,9,40
f,8,ha,8,40
f,8,ha,7,40
f,8,ha,6,40
f,8,ha,5,40
f,8,ha,4,40
f,8,ha,3,40
f,8,ha,2,40
f,8,ha,1,40
f,8,ha,0,40
f,9,gad,30,90
f,9,gad,29,90
f,9,gad,28,89
f,9,gad,27,87
f,9,gad,26,85
f,9,gad,25,83
f,9,gad,24,80
f,9,gad,23,78
f,9,gad,22,76
f,9,gad,21,74
f,9,gad,20,72
f,9,gad,19,70
f,9,gad,18,68
f,9,gad,17,66
f,9,gad,16,63
f,9,gad,15,61
f,9,gad,14,59
f,9,gad,13,57
f,9,gad,12,55
f,9,gad,11,53
f,9,gad,10,51
f,9,gad,9,49
f,9,gad,8,46
f,9,gad,7,44
f,9,gad,6,42
f,9,gad,5,40
f,9,gad,4,40
f,9,gad,3,40
f,9,gad,2,40
f,9,gad,1,40
f,9,gad,0,40
f,9,sa,27,76
f,9,sa,26,75
f,9,sa,25,73
f,9,sa,24,71
f,9,sa,23,70
f,9,sa,22,68
f,9,sa,21,67
f,9,sa,20,65
f,9,sa,19,63
f,9,sa,18,62
f,9,sa,17,60
f,9,sa,16,58
f,9,sa,15,57
f,9,sa,14,55
f,9,sa,13,53
f,9,sa,12,52
f,9,sa,11,50
f,9,sa,10,48
f,9,sa,9,47
f,9,sa,8,45
f,9,sa,7,43
f,9,sa,6,42
f,9,sa,5,40
f,9,sa,4,40
f,9,sa,3,40
f,9,sa,2,40
f,9,sa,1,40
f,9,sa,0,40
f,9,hr,15,72
f,9,hr,14,69
f,9,hr,13,67
f,9,hr,12,65
f,9,hr,11,62
f,9,hr,10,60
f,9,hr,9,57
f,9,hr,8,55
f,9,hr,7,53
f,9,hr,6,50
f,9,hr,5,48
f,9,hr,4,45
f,9,hr,3,43
f,9,hr,2,41
f,9,hr,1,40
f,9,hr,0,40
f,9,pf,12,76
f,9,pf,11,73
f,9,pf,10,69
f,9,pf,9,65
f,9,pf,8,61
f,9,pf,7,58
f,9,pf,6,54
f,9,pf,5,49
f,9,pf,4,46
f,9,pf,3,43
f,9,pf,2,40
f,9,pf,1,40
f,9,pf,0,40
f,9,oc,30,88
f,9,oc,29,86
f,9,oc,28,85
f,9,oc,27,83
f,9,oc,26,81
f,9,oc,25,80
f,9,oc,24,78
f,9,oc,23,76
f,9,oc,22,75
f,9,oc,21,73
f,9,oc,20,71
f,9,oc,19,69
f,9,oc,18,68
f,9,oc,17,66
f,9,oc,16,64
f,9,oc,15,63
f,9,oc,14,61
f,9,oc,13,59
f,9,oc,12,58
f,9,oc,11,56
f,9,oc,10,54
f,9,oc,9,53
f,9,oc,8,51
f,9,oc,7,49
f,9,oc,6,47
f,9,oc,5,46
f,9,oc,4,44
f,9,oc,3,42
f,9,oc,2,41
f,9,oc,1,40
f,9,oc,0,40
f,9,ps,36,90
f,9,ps,35,90
f,9,ps,34,90
f,9,ps,33,90
f,9,ps,32,90
f,9,ps,31,90
f,9,ps,30,88
f,9,ps,29,87
f,9,ps,28,85
f,9,ps,27,83
f,9,ps,26,82
f,9,ps,25,80
f,9,ps,24,78
f,9,ps,23,77
f,9,ps,22,75
f,9,ps,21,73
f,9,ps,20,72
f,9,ps,19,70
f,9,ps,18,68
f,9,ps,17,66
f,9,ps,16,65
f,9,ps,15,63
f,9,ps,14,61
f,9,ps,13,60
f,9,ps,12,58
f,9,ps,11,56
f,9,ps,10,55
f,9,ps,9,53
f,9,ps,8,51
f,9,ps,7,50
f,9,ps,6,48
f,9,ps,5,46
f,9,ps,4,45
f,9,ps,3,43
f,9,ps,2,41
f,9,ps,1,40
f,9,ps,0,40
f,9,p,21,90
f,9,p,20,90
f,9,p,19,90
f,9,p,18,90
f,9,p,17,89
f,9,p,16,86
f,9,p,15,83
f,9,p,14,80
f,9,p,13,77
f,9,p,12,74
f,9,p,11,71
f,9,p,10,68
f,9,p,9,65
f,9,p,8,62
f,9,p,7,60
f,9,p,6,57
f,9,p,5,54
f,9,p,4,51
f,9,p,3,48
f,9,p,2,45
f,9,p,1,42
f,9,p,0,40
f,9,tr,15,87
f,9,tr,14,84
f,9,tr,13,81
f,9,tr,12,77
f,9,tr,11,74
f,9,tr,10,71
f,9,tr,9,68
f,9,tr,8,65
f,9,tr,7,61
f,9,tr,6,58
f,9,tr,5,55
f,9,tr,4,52
f,9,tr,3,49
f,9,tr,2,45
f,9,tr,1,42
f,9,tr,0,40
f,9,ha,24,67
f,9,ha,23,64
f,9,ha,22,62
f,9,ha,21,59
f,9,ha,20,56
f,9,ha,19,54
f,9,ha,18,51
f,9,ha,17,48
f,9,ha,16,46
f,9,ha,15,43
f,9,ha,14,41
f,9,ha,13,40
f,9,ha,12,40
f,9,ha,11,40
f,9,ha,10,40
f,9,ha,9,40
f,9,ha,8,40
f,9,ha,7,40
f,9,ha,6,40
f,9,ha,5,40
f,9,ha,4,40
f,9,ha,3,40
f,9,ha,2,40
f,9,ha,1,40
f,9,ha,0,40
f,10,gad,30,90
f,10,gad,29,90
f,10,gad,28,89
f,10,gad,27,87
f,10,gad,26,85
f,10,gad,25,83
f,10,gad,24,80
f,10,gad,23,78
f,10,gad,22,76
f,10,gad,21,74
f,10,gad,20,72
f,10,gad,19,70
f,10,gad,18,68
f,10,gad,17,66
f,10,gad,16,63
f,10,gad,15,61
f,10,gad,14,59
f,10,gad,13,57
f,10,gad,12,55
f,10,gad,11,53
f,10,gad,10,51
f,10,gad,9,49
f,10,gad,8,46
f,10,gad,7,44
f,10,gad,6,42
f,10,gad,5,40
f,10,gad,4,40
f,10,gad,3,40
f,10,gad,2,40
f,10,gad,1,40
f,10,gad,0,40
f,10,sa,27,76
f,10,sa,26,75
f,10,sa,25,73
f,10,sa,24,71
f,10,sa,23,70
f,10,sa,22,68
f,10,sa,21,67
f,10,sa,20,65
f,10,sa,19,63
f,10,sa,18,62
f,10,sa,17,60
f,10,sa,16,58
f,10,sa,15,57
f,10,sa,14,55
f,10,sa,13,53
f,10,sa,12,52
f,10,sa,11,50
f,10,sa,10,48
f,10,sa,9,47
f,10,sa,8,45
f,10,sa,7,43
f,10,sa,6,42
f,10,sa,5,40
f,10,sa,4,40
f,10,sa,3,40
f,10,sa,2,40
f,10,sa,1,40
f,10,sa,0,40
f,10,hr,15,72
f,10,hr,14,69
f,10,hr,13,67
f,10,hr,12,65
f,10,hr,11,62
f,10,hr,10,60
f,10,hr,9,57
f,10,hr,8,55
f,10,hr,7,53
f,10,hr,6,50
f,10,hr,5,48
f,10,hr,4,45
f,10,hr,3,43
f,10,hr,2,41
f,10,hr,1,40
f,10,hr,0,40
f,10,pf,12,76
f,10,pf,11,73
f,10,pf,10,69
f,10,pf,9,65
f,10,pf,8,61
f,10,pf,7,58
f,10,pf,6,54
f,10,pf,5,49
f,10,pf,4,46
f,10,pf,3,43
f,10,pf,2,40
f,10,pf,1,40
f,10,pf,0,40
f,10,oc,30,88
f,10,oc,29,86
f,10,oc,28,85
f,10,oc,27,83
f,10,oc,26,81
f,10,oc,25,80
f,10,oc,24,78
f,10,oc,23,76
f,10,oc,22,75
f,10,oc,21,73
f,10,oc,20,71
f,10,oc,19,69
f,10,oc,18,68
f,10,oc,17,66
f,10,oc,16,64
f,10,oc,15,63
f,10,oc,14,61
f,10,oc,13,59
f,10,oc,12,58
f,10,oc,11,56
f,10,oc,10,54
f,10,oc,9,53
f,10,oc,8,51
f,10,oc,7,49
f,10,oc,6,47
f,10,oc,5,46
f,10,oc,4,44
f,10,oc,3,42
f,10,oc,2,41
f,10,oc,1,40
f,10,oc,0,40
f,10,ps,36,90
f,10,ps,35,90
f,10,ps,34,90
f,10,ps,33,90
f,10,ps,32,90
f,10,ps,31,90
f,10,ps,30,88
f,10,ps,29,87
f,10,ps,28,85
f,10,ps,27,83
f,10,ps,26,82
f,10,ps,25,80
f,10,ps,24,78
f,10,ps,23,77
f,10,ps,22,75
f,10,ps,21,73
f,10,ps,20,72
f,10,ps,19,70
f,10,ps,18,68
f,10,ps,17,66
f,10,ps,16,65
f,10,ps,15,63
f,10,ps,14,61
f,10,ps,13,60
f,10,ps,12,58
f,10,ps,11,56
f,10,ps,10,55
f,10,ps,9,53
f,10,ps,8,51
f,10,ps,7,50
f,10,ps,6,48
f,10,ps,5,46
f,10,ps,4,45
f,10,ps,3,43
f,10,ps,2,41
f,10,ps,1,40
f,10,ps,0,40
f,10,p,21,90
f,10,p,20,90
f,10,p,19,90
f,10,p,18,90
f,10,p,17,89
f,10,p,16,86
f,10,p,15,83
f,10,p,14,80
f,10,p,13,77
f,10,p,12,74
f,10,p,11,71
f,10,p,10,68
f,10,p,9,65
f,10,p,8,62
f,10,p,7,60
f,10,p,6,57
f,10,p,5,54
f,10,p,4,51
f,10,p,3,48
f,10,p,2,45
f,10,p,1,42
f,10,p,0,40
f,10,tr,15,87
f,10,tr,14,84
f,10,tr,13,81
f,10,tr,12,77
f,10,tr,11,74
f,10,tr,10,71
f,10,tr,9,68
f,10,tr,8,65
f,10,tr,7,61
f,10,tr,6,58
f,10,tr,5,55
f,10,tr,4,52
f,10,tr,3,49
f,10,tr,2,45
f,10,tr,1,42
f,10,tr,0,40
f,10,ha,24,67
f,10,ha,23,64
f,10,ha,22,62
f,10,ha,21,59
f,10,ha,20,56
f,10,ha,19,54
f,10,ha,18,51
f,10,ha,17,48
f,10,ha,16,46
f,10,ha,15,43
f,10,ha,14,41
f,10,ha,13,40
f,10,ha,12,40
f,10,ha,11,40
f,10,ha,10,40
f,10,ha,9,40
f,10,ha,8,40
f,10,ha,7,40
f,10,ha,6,40
f,10,ha,5,40
f,10,ha,4,40
f,10,ha,3,40
f,10,ha,2,40
f,10,ha,1,40
f,10,ha,0,40
f,11,gad,30,90
f,11,gad,29,90
f,11,gad,28,89
f,11,gad,27,87
f,11,gad,26,85
f,11,gad,25,83
f,11,gad,24,80
f,11,gad,23,78
f,11,gad,22,76
f,11,gad,21,74
f,11,gad,20,72
f,11,gad,19,70
f,11,gad,18,68
f,11,gad,17,66
f,11,gad,16,63
f,11,gad,15,61
f,11,gad,14,59
f,11,gad,13,57
f,11,gad,12,55
f,11,gad,11,53
f,11,gad,10,51
f,11,gad,9,49
f,11,gad,8,46
f,11,gad,7,44
f,11,gad,6,42
f,11,gad,5,40
f,11,gad,4,40
f,11,gad,3,40
f,11,gad,2,40
f,11,gad,1,40
f,11,gad,0,40
f,11,sa,27,76
f,11,sa,26,75
f,11,sa,25,73
f,11,sa,24,71
f,11,sa,23,70
f,11,sa,22,68
f,11,sa,21,67
f,11,sa,20,65
f,11,sa,19,63
f,11,sa,18,62
f,11,sa,17,60
f,11,sa,16,58
f,11,sa,15,57
f,11,sa,14,55
f,11,sa,13,53
f,11,sa,12,52
f,11,sa,11,50
f,11,sa,10,48
f,11,sa,9,47
f,11,sa,8,45
f,11,sa,7,43
f,11,sa,6,42
f,11,sa,5,40
f,11,sa,4,40
f,11,sa,3,40
f,11,sa,2,40
f,11,sa,1,40
f,11,sa,0,40
f,11,hr,15,72
f,11,hr,14,69
f,11,hr,13,67
f,11,hr,12,65
f,11,hr,11,62
f,11,hr,10,60
f,11,hr,9,57
f,11,hr,8,55
f,11,hr,7,53
f,11,hr,6,50
f,11,hr,5,48
f,11,hr,4,45
f,11,hr,3,43
f,11,hr,2,41
f,11,hr,1,40
f,11,hr,0,40
f,11,pf,12,76
f,11,pf,11,73
f,11,pf,10,69
f,11,pf,9,65
f,11,pf,8,61
f,11,pf,7,58
f,11,pf,6,54
f,11,pf,5,49
f,11,pf,4,46
f,11,pf,3,43
f,11,pf,2,40
f,11,pf,1,40
f,11,pf,0,40
f,11,oc,30,88
f,11,oc,29,86
f,11,oc,28,85
f,11,oc,27,83
f,11,oc,26,81
f,11,oc,25,80
f,11,oc,24,78
f,11,oc,23,76
f,11,oc,22,75
f,11,oc,21,73
f,11,oc,20,71
f,11,oc,19,69
f,11,oc,18,68
f,11,oc,17,66
f,11,oc,16,64
f,11,oc,15,63
f,11,oc,14,61
f,11,oc,13,59
f,11,oc,12,58
f,11,oc,11,56
f,11,oc,10,54
f,11,oc,9,53
f,11,oc,8,51
f,11,oc,7,49
f,11,oc,6,47
f,11,oc,5,46
f,11,oc,4,44
f,11,oc,3,42
f,11,oc,2,41
f,11,oc,1,40
f,11,oc,0,40
f,11,ps,36,90
f,11,ps,35,90
f,11,ps,34,90
f,11,ps,33,90
f,11,ps,32,90
f,11,ps,31,90
f,11,ps,30,88
f,11,ps,29,87
f,11,ps,28,85
f,11,ps,27,83
f,11,ps,26,82
f,11,ps,25,80
f,11,ps,24,78
f,11,ps,23,77
f,11,ps,22,75
f,11,ps,21,73
f,11,ps,20,72
f,11,ps,19,70
f,11,ps,18,68
f,11,ps,17,66
f,11,ps,16,65
f,11,ps,15,63
f,11,ps,14,61
f,11,ps,13,60
f,11,ps,12,58
f,11,ps,11,56
f,11,ps,10,55
f,11,ps,9,53
f,11,ps,8,51
f,11,ps,7,50
f,11,ps,6,48
f,11,ps,5,46
f,11,ps,4,45
f,11,ps,3,43
f,11,ps,2,41
f,11,ps,1,40
f,11,ps,0,40
f,11,p,21,90
f,11,p,20,90
f,11,p,19,90
f,11,p,18,90
f,11,p,17,89
f,11,p,16,86
f,11,p,15,83
f,11,p,14,80
f,11,p,13,77
f,11,p,12,74
f,11,p,11,71
f,11,p,10,68
f,11,p,9,65
f,11,p,8,62
f,11,p,7,60
f,11,p,6,57
f,11,p,5,54
f,11,p,4,51
f,11,p,3,48
f,11,p,2,45
f,11,p,1,42
f,11,p,0,40
f,11,tr,15,87
f,11,tr,14,84
f,11,tr,13,81
f,11,tr,12,77
f,11,tr,11,74
f,11,tr,10,71
f,11,tr,9,68
f,11,tr,8,65
f,11,tr,7,61
f,11,tr,6,58
f,11,tr,5,55
f,11,tr,4,52
f,11,tr,3,49
f,11,tr,2,45
f,11,tr,1,42
f,11,tr,0,40
f,11,ha,24,67
f,11,ha,23,64
f,11,ha,22,62
f,11,ha,21,59
f,11,ha,20,56
f,11,ha,19,54
f,11,ha,18,51
f,11,ha,17,48
f,11,ha,16,46
f,11,ha,15,43
f,11,ha,14,41
f,11,ha,13,40
f,11,ha,12,40
f,11,ha,11,40
f,11,ha,10,40
f,11,ha,9,40
f,11,ha,8,40
f,11,ha,7,40
f,11,ha,6,40
f,11,ha,5,40
f,11,ha,4,40
f,11,ha,3,40
f,11,ha,2,40
f,11,ha,1,40
f,11,ha,0,40
m,8,total,150,90
m,8,total,149,90
m,8,total,148,90
m,8,total,147,90
m,8,total,146,90
m,8,total,145,90
m,8,total,144,90
m,8,total,143,90
m,8,total,142,90
m,8,total,141,90
m,8,total,140,90
m,8,total,139,89
m,8,total,138,89
m,8,total,137,88
m,8,total,136,88
m,8,total,135,87
m,8,total,134,87
m,8,total,133,86
m,8,total,132,86
m,8,total,131,86
m,8,total,130,85
m,8,total,129,85
m,8,total,128,84
m,8,total,127,84
m,8,total,126,83
m,8,total,125,83
m,8,total,124,82
m,8,total,123,82
m,8,total,122,82
m,8,total,121,81
m,8,total,120,81
m,8,total,119,80
m,8,total,118,80
m,8,total,117,79
m,8,total,116,79
m,8,total,115,78
m,8,total,114,78
m,8,total,113,77
m,8,total,112,77
m,8,total,111,77
m,8,total,110,76
m,8,total,109,76
m,8,total,108,75
m,8,total,107,75
m,8,total,106,74
m,8,total,105,74
m,8,total,104,73
m,8,total,103,73
m,8,total,102,73
m,8,total,101,72
m,8,total,100,72
m,8,total,99,71
m,8,total,98,71
m,8,total,97,70
m,8,total,96,70
m,8,total,95,69
m,8,total,94,69
m,8,total,93,69
m,8,total,92,68
m,8,total,91,68
m,8,total,90,67
m,8,total,89,67
m,8,total,88,66
m,8,total,87,66
m,8,total,86,65
m,8,total,85,65
m,8,total,84,64
m,8,total,83,64
m,8,total,82,64
m,8,total,81,63
m,8,total,80,63
m,8,total,79,62
m,8,total,78,62
m,8,total,77,61
m,8,total,76,61
m,8,total,75,60
m,8,total,74,60
m,8,total,73,60
m,8,total,72,59
m,8,total,71,59
m,8,total,70,58
m,8,total,69,58
m,8,total,68,57
m,8,total,67,57
m,8,total,66,56
m,8,total,65,56
m,8,total,64,56
m,8,total,63,55
m,8,total,62,55
m,8,total,61,54
m,8,total,60,54
m,8,total,59,53
m,8,total,58,53
m,8,total,57,52
m,8,total,56,52
m,8,total,55,51
m,8,total,54,51
m,8,total,53,51
m,8,total,52,50
m,8,total,51,50
m,8,total,50,49
m,8,total,49,49
m,8,total,48,48
m,8,total,47,48
m,8,total,46,47
m,8,total,45,47
m,8,total,44,47
m,8,total,43,46
m,8,total,42,46
m,8,total,41,45
m,8,total,40,45
m,8,total,39,44
m,8,total,38,44
m,8,total,37,43
m,8,total,36,43
m,8,total,35,42
m,8,total,34,42
m,8,total,33,42
m,8,total,32,41
m,8,total,31,41
m,8,total,30,40
m,8,total,29,40
m,8,total,28,40
m,8,total,27,40
m,8,total,26,40
m,8,total,25,40
m,8,total,24,40
m,8,total,23,40
m,8,total,22,40
m,8,total,21,40
m,8,total,20,40
m,8,total,19,40
m,8,total,18,40
m,8,total,17,40
m,8,total,16,40
m,8,total,15,40
m,8,total,14,40
m,8,total,13,40
m,8,total,12,40
m,8,total,11,40
m,8,total,10,40
m,8,total,9,40
m,8,total,8,40
m,8,total,7,40
m,8,total,6,40
m,8,total,5,40
m,8,total,4,40
m,8,total,3,40
m,8,total,2,40
m,8,total,1,40
m,8,total,0,40
m,9,total,150,90
m,9,total,149,90
m,9,total,148,90
m,9,total,147,90
m,9,total,146,90
m,9,total,145,90
m,9,total,144,90
m,9,total,143,90
m,9,total,142,90
m,9,total,141,90
m,9,total,140,90
m,9,total,139,89
m,9,total,138,89
m,9,total,137,88
m,9,total,136,88
m,9,total,135,87
m,9,total,134,87
m,9,total,133,86
m,9,total,132,86
m,9,total,131,86
m,9,total,130,85
m,9,total,129,85
m,9,total,128,84
m,9,total,127,84
m,9,total,126,83
m,9,total,125,83
m,9,total,124,82
m,9,total,123,82
m,9,total,122,82
m,9,total,121,81
m,9,total,120,81
m,9,total,119,80
m,9,total,118,80
m,9,total,117,79
m,9,total,116,79
m,9,total,115,78
m,9,total,114,78
m,9,total,113,77
m,9,total,112,77
m,9,total,111,77
m,9,total,110,76
m,9,total,109,76
m,9,total,108,75
m,9,total,107,75
m,9,total,106,74
m,9,total,105,74
m,9,total,104,73
m,9,total,103,73
m,9,total,102,73
m,9,total,101,72
m,9,total,100,72
m,9,total,99,71
m,9,total,98,71
m,9,total,97,70
m,9,total,96,70
m,9,total,95,69
m,9,total,94,69
m,9,total,93,69
m,9,total,92,68
m,9,total,91,68
m,9,total,90,67
m,9,total,89,67
m,9,total,88,66
m,9,total,87,66
m,9,total,86,65
m,9,total,85,65
m,9,total,84,64
m,9,total,83,64
m,9,total,82,64
m,9,total,81,63
m,9,total,80,63
m,9,total,79,62
m,9,total,78,62
m,9,total,77,61
m,9,total,76,61
m,9,total,75,60
m,9,total,74,60
m,9,total,73,60
m,9,total,72,59
m,9,total,71,59
m,9,total,70,58
m,9,total,69,58
m,9,total,68,57
m,9,total,67,57
m,9,total,66,56
m,9,total,65,56
m,9,total,64,56
m,9,total,63,55
m,9,total,62,55
m,9,total,61,54
m,9,total,60,54
m,9,total,59,53
m,9,total,58,53
m,9,total,57,52
m,9,total,56,52
m,9,total,55,51
m,9,total,54,51
m,9,total,53,51
m,9,total,52,50
m,9,total,51,50
m,9,total,50,49
m,9,total,49,49
m,9,total,48,48
m,9,total,47,48
m,9,total,46,47
m,9,total,45,47
m,9,total,44,47
m,9,total,43,46
m,9,total,42,46
m,9,total,41,45
m,9,total,40,45
m,9,total,39,44
m,9,total,38,44
m,9,total,37,43
m,9,total,36,43
m,9,total,35,42
m,9,total,34,42
m,9,total,33,42
m,9,total,32,41
m,9,total,31,41
m,9,total,30,40
m,9,total,29,40
m,9,total,28,40
m,9,total,27,40
m,9,total,26,40
m,9,total,25,40
m,9,total,24,40
m,9,total,23,40
m,9,total,22,40
m,9,total,21,40
m,9,total,20,40
m,9,total,19,40
m,9,total,18,40
m,9,total,17,40
m,9,total,16,40
m,9,total,15,40
m,9,total,14,40
m,9,total,13,40
m,9,total,12,40
m,9,total,11,40
m,9,total,10,40
m,9,total,9,40
m,9,total,8,40
m,9,total,7,40
m,9,total,6,40
m,9,total,5,40
m,9,total,4,40
m,9,total,3,40
m,9,total,2,40
m,9,total,1,40
m,9,total,0,40
m,10,total,150,90
m,10,total,149,90
m,10,total,148,90
m,10,total,147,90
m,10,total,146,90
m,10,total,145,90
m,10,total,144,90
m,10,total,143,90
m,10,total,142,90
m,10,total,141,90
m,10,total,140,90
m,10,total,139,89
m,10,total,138,89
m,10,total,137,88
m,10,total,136,88
m,10,total,135,87
m,10,total,134,87
m,10,total,133,86
m,10,total,132,86
m,10,total,131,86
m,10,total,130,85
m,10,total,129,85
m,10,total,128,84
m,10,total,127,84
m,10,total,126,83
m,10,total,125,83
m,10,total,124,82
m,10,total,123,82
m,10,total,122,82
m,10,total,121,81
m,10,total,120,81
m,10,total,119,80
m,10,total,118,80
m,10,total,117,79
m,10,total,116,79
m,10,total,115,78
m,10,total,114,78
m,10,total,113,77
m,10,total,112,77
m,10,total,111,77
m,10,total,110,76
m,10,total,109,76
m,10,total,108,75
m,10,total,107,75
m,10,total,106,74
m,10,total,105,74
m,10,total,104,73
m,10,total,103,73
m,10,total,102,73
m,10,total,101,72
m,10,total,100,72
m,10,total,99,71
m,10,total,98,71
m,10,total,97,70
m,10,total,96,70
m,10,total,95,69
m,10,total,94,69
m,10,total,93,69
m,10,total,92,68
m,10,total,91,68
m,10,total,90,67
m,10,total,89,67
m,10,total,88,66
m,10,total,87,66
m,10,total,86,65
m,10,total,85,65
m,10,total,84,64
m,10,total,83,64
m,10,total,82,64
m,10,total,81,63
m,10,total,80,63
m,10,total,79,62
m,10,total,78,62
m,10,total,77,61
m,10,total,76,61
m,10,total,75,60
m,10,total,74,60
m,10,total,73,60
m,10,total,72,59
m,10,total,71,59
